                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.708,                 5.1315,                 1.9926,                      0,                      0,                      0,                      0,                 3.2431,                 6.2928,                 2.5985,                      0,                      0,                      0
                      2,                 2.0724,                 5.0878,                 2.2951,                      0,                      0,                      0,                      0,                 3.2788,                 6.3077,                 2.6279,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 2.0441,                 5.0272,                 2.3404,                      0,                      0,                      0,                      0,                 3.3036,                 6.2919,                  2.657,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.6941,                 4.9663,                  1.877,                      0,                      0,                      0,                      0,                 3.3311,                 6.2802,                 2.6589,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 2.5209,                 5.1923,                 2.2371,                      0,                      0,                      0,                      0,                 3.3051,                 6.2559,                 2.6593,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.7479,                  5.026,                 2.0648,                      0,                      0,                      0,                      0,                  3.315,                 6.2087,                 2.6732,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 2.2088,                 5.3307,                 2.3318,                      0,                      0,                      0,                      0,                 3.3012,                 6.2197,                 2.6685,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 2.1857,                  5.489,                 2.3036,                      0,                      0,                      0,                      0,                 3.2787,                 6.2418,                 2.6373,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 2.0813,                 5.2808,                 2.1256,                      0,                      0,                      0,                      0,                 3.2787,                 6.2514,                 2.6243,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.8248,                 4.7929,                 1.9497,                      0,                      0,                      0,                      0,                 3.2848,                 6.2543,                 2.6269,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 2.4625,                  5.122,                 2.2641,                      0,                      0,                      0,                      0,                 3.2751,                 6.2302,                 2.6281,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 2.2248,                 5.4684,                 2.2269,                      0,                      0,                      0,                      0,                 3.2496,                 6.2376,                  2.619,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.9594,                 5.0348,                 1.9739,                      0,                      0,                      0,                      0,                 3.2155,                 6.2301,                 2.6205,             1.2584e-05,             1.2584e-05,             1.2584e-05
